"Unable to save profile with ID %1. Error: %2","Unable to save profile with ID %1. Error: %2"
"Unable to save new profile. Error: %1","Unable to save new profile. Error: %1"
"Receive notifications every time the product comes back in stock","Receive notifications every time the product comes back in stock"
"You’re subscribed to a price alert!","You’re subscribed to a price alert!"
"Hello,","Hello,"
"You've successfully subscribed to price alerts for %product_name","You've successfully subscribed to price alerts for %product_name"
"If the price is updated, we’ll notify you right away.","If the price is updated, we’ll notify you right away."
"You can unsubscribe from price alerts anytime by clicking ","You can unsubscribe from price alerts anytime by clicking "
here.,here.
"Best Regards, %store_name.","Best Regards, %store_name."
"You’re subscribed to a back in stock alert!","You’re subscribed to a back in stock alert!"
"You've successfully subscribed to back in stock alert for %product_name.","You've successfully subscribed to back in stock alert for %product_name."
"We’ll let you know as soon as this product is back in stock.","We’ll let you know as soon as this product is back in stock."
"You can unsubscribe from stock alerts anytime by clicking ","You can unsubscribe from stock alerts anytime by clicking "
"Enable Subscribe from Recommended Products Blocks","Enable Subscribe from Recommended Products Blocks"
"Use Popup for Guests","Use Popup for Guests"
"Email Template for Price Alert Subscription","Email Template for Price Alert Subscription"
"Email Template for Back in Stock Alert Subscription","Email Template for Back in Stock Alert Subscription"
"Email Sender","Email Sender"
